centroid_x,centroid_y,centroid_z,dim_x,dim_y,dim_z,volume,ijk,xc,yc,zc,xinc,yinc,zinc,nx,ny,nz,xmorig,ymorig,zmorig,zone,product,cog,density,class,zona,ni_ok_fi,co_ok_fi,fe_ok_fi,mgo_ok_f,sio2_ok_,smratio,finsolprod090135_def,finsolprod090135_comb,finsolprod090135_val,basicity,econ_val_usd,sum_econ_val_usd
Variable descriptions:,,,,,,,Datamine field : ijk,Datamine field : xc,Datamine field : yc,Datamine field : zc,Datamine field : xinc,Datamine field : yinc,Datamine field : zinc,Datamine field : nx,Datamine field : ny,Datamine field : nz,Datamine field : xmorig,Datamine field : ymorig,Datamine field : zmorig,Datamine field : zone,Datamine field : product,Datamine field : cog,Datamine field : density,Datamine field : class,Datamine field : zone_int,Datamine field : ni_ok_fi,Datamine field : co_ok_fi,Datamine field : fe_ok_fi,Datamine field : mgo_ok_f,Datamine field : sio2_ok_,Datamine field : smratio,29-Oct-2025,29-Oct-2025,,,,sum_econ_val_usd
Variable types:,,,,,,,float,float,float,float,float,float,float,float,float,float,float,float,float,name,name,name,float,name,float,float,float,float,float,float,float,name,name,double,double,double,float
572583.750000,9059233.750000,217.500000,12.500000,12.500000,1.000000,156.250000,308522.000000,572583.750000,9059234.000000,217.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,9.720000,measured,11.000000,1.938522,0.189245,115.125382,98.338643,117.939824,9.381074,waste,obws,17.000000,3.344898,-15.000000,-15.000000
572583.750000,9059246.250000,218.500000,12.500000,12.500000,1.000000,156.250000,308758.000000,572583.750000,9059246.000000,218.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,9.720000,measured,11.000000,1.866068,0.178833,116.191711,95.501997,112.372492,9.591773,waste,obws,17.000000,3.368208,-15.000000,-15.000000
572583.750000,9059258.750000,218.500000,12.500000,12.500000,1.000000,156.250000,308993.000000,572583.750000,9059259.000000,218.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,9.720000,measured,11.000000,2.435173,0.295346,116.327184,98.841314,115.789476,9.630853,waste,obws,17.000000,3.331633,-15.000000,-15.000000
572583.750000,9059271.250000,218.500000,12.500000,12.500000,1.000000,156.250000,309228.000000,572583.750000,9059271.000000,218.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,9.860000,measured,13.000000,1.891290,0.175486,79.042284,132.300234,150.928691,7.560085,waste,obws,21.000000,3.900218,-15.000000,-15.000000
572583.750000,9059283.750000,219.500000,12.500000,12.500000,1.000000,156.250000,309464.000000,572583.750000,9059284.000000,219.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,9.720000,measured,11.000000,2.373274,0.270640,110.175727,101.607250,119.841146,9.058622,waste,obws,17.000000,3.367455,-15.000000,-15.000000
572583.750000,9059296.250000,219.500000,12.500000,12.500000,1.000000,156.250000,309699.000000,572583.750000,9059296.000000,219.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,9.720000,measured,11.000000,2.284572,0.269840,106.629005,105.165142,119.382997,8.773923,waste,obws,17.000000,3.482946,-15.000000,-15.000000
572583.750000,9059308.750000,218.500000,12.500000,12.500000,1.000000,156.250000,309933.000000,572583.750000,9059309.000000,218.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,11.000000,measured,14.000000,2.742356,0.259436,92.961050,159.297705,179.910603,8.279305,waste,obws,26.000000,4.836982,-18.000000,-18.000000
572583.750000,9059321.250000,222.500000,12.500000,12.500000,1.000000,156.250000,310172.000000,572583.750000,9059321.000000,222.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,18.580000,measured,20.000000,5.165125,0.571465,245.395085,192.879321,213.950258,16.569014,waste,obws,34.000000,7.126666,-30.000000,-30.000000
572583.750000,9059333.750000,225.500000,12.500000,12.500000,1.000000,156.250000,310410.000000,572583.750000,9059334.000000,225.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,24.300000,measured,25.000000,7.010536,0.831350,342.574571,225.738143,256.794187,24.028313,waste,obws,41.000000,8.684634,-39.000000,-39.000000
572583.750000,9059346.250000,225.500000,12.500000,12.500000,1.000000,156.250000,310645.000000,572583.750000,9059346.000000,225.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,28.300000,measured,31.000000,9.337725,1.074474,358.739471,288.498879,331.701171,22.833569,waste,obws,58.000000,10.912914,-22.000000,-22.000000
572583.750000,9059358.750000,225.500000,12.500000,12.500000,1.000000,156.250000,310880.000000,572583.750000,9059359.000000,225.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,29.870000,measured,33.000000,10.041611,1.104267,372.920720,311.611131,363.057473,26.219820,waste,obws,63.000000,11.218847,-29.000000,-29.000000
572583.750000,9059371.250000,226.500000,12.500000,12.500000,1.000000,156.250000,311116.000000,572583.750000,9059371.000000,226.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,30.160000,measured,32.000000,9.183758,1.152613,403.510879,290.964842,338.621121,27.357607,waste,obws,57.000000,11.016095,-33.000000,-33.000000
572583.750000,9059383.750000,226.500000,12.500000,12.500000,1.000000,156.250000,311351.000000,572583.750000,9059384.000000,226.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,28.590000,measured,30.000000,7.989090,1.032794,378.783250,270.248185,313.462639,25.632980,waste,obws,50.000000,10.203575,-37.000000,-37.000000
572583.750000,9059396.250000,225.500000,12.500000,12.500000,1.000000,156.250000,311585.000000,572583.750000,9059396.000000,225.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,22.730000,measured,23.000000,6.599747,0.867171,304.570421,198.671436,233.475285,20.626574,ob,obws,38.000000,7.968914,-32.000000,-32.000000
572583.750000,9059408.750000,224.500000,12.500000,12.500000,1.000000,156.250000,311819.000000,572583.750000,9059409.000000,224.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,19.160000,measured,18.000000,5.498876,0.799106,275.408567,146.946560,173.320076,20.044025,ob,obws,28.000000,6.020239,-22.000000,-22.000000
